Beinn Bheoil,-4.431862959,56.81329376
Carn an Tuirc,-3.357339847,56.9082922
Mullach Clach a' Bhlair,-3.841790232,57.01189445
Mullach Coire Mhic Fhearchair,-5.274315313,57.70904658
Garbh Chioch Mhor,-5.447765921,57.00857615
Beinn Ime,-4.818999457,56.23680455
Cairn Bannoch,-3.278584903,56.92774668
The Saddle,-5.418080868,57.16241874
Sgurr Eilde Mor,-4.897471352,56.75003338
Beinn Udlamain,-4.331036199,56.83546152
Sgurr an Doire Leathain,-5.284505486,57.13690559
Ruadh-stac Mor (Beinn Eighe),-5.432869715,57.59376084
Beinn Dearg,-3.884272566,56.87736428
An Sgarsoch,-3.754743709,56.93213535
Carn Liath,-4.516638898,56.97881625
Maoile Lunndaidh,-5.113547565,57.46450132
Beinn Fhionnlaidh,-5.13249896,57.30600085
Beinn an Dothaidh,-4.715637861,56.53014422
The Devil's Point,-3.689191302,57.0357431
Sgurr an Lochain,-5.300499967,57.14132302
Sgurr Mor,-5.357373594,57.02846581
Sgurr na Carnach,-5.352387063,57.18905946
Sail Chaorainn [Sail Chaoruinn],-5.093572426,57.19183096
Meall Greigh,-4.160401221,56.5674407
Sgorr Dhonuill (Beinn a' Bheithir),-5.200503483,56.65051754
Aonach Meadhoin,-5.232001506,57.1730529
Stob Ban,-5.032673925,56.74372378
Stob Daimh [Stob Diamh],-5.093793866,56.43134152
Sgurr Choinnich,-5.210707648,57.45105083
Sgurr Breac,-5.094236718,57.69209234
Broad Cairn,-3.249236765,56.91916689
Ben More Assynt,-4.86019886,58.13818917
Glas Bheinn Mhor,-5.007534246,56.54245567
A' Chailleach,-5.131318604,57.69382501
Spidean Mialach,-5.196353797,57.08898359
An Caisteal,-4.625878033,56.33860953
Sgurr na h-Ulaidh [Sgor na h-Ulaidh],-5.082516882,56.61981535
Carn an Fhidhleir [Carn Ealar],-3.802020756,56.93603684
Sgurr na Ruaidhe,-4.85441958,57.44151893
Carn nan Gobhar,-5.026886064,57.36332661
Spidean Coire nan Clach (Beinn Eighe),-5.407045171,57.58212466
Carn nan Gobhar,-4.881947157,57.45235271
Sgurr Alasdair,-6.230544947,57.20661922
Sgairneach Mhor,-4.298808686,56.82846484
